,all_features
86,"Very bad management Good work for learning . 1. No work life balance 2. People work 24/7 in this company 3. Ask everytime to work on weekends 4. No management to check your workload,they just give deadline 5. Very bad food 6. No seating arrangements 7. Give any competency work to anyone and suppose to give output as expert"
87,"Very bad management Good work for learning . 1. No work life balance 2. People work 24/7 in this company 3. Ask everytime to work on weekends 4. No management to check your workload,they just give deadline 5. Very bad food 6. No seating arrangements 7. Give any competency work to anyone and suppose to give output as expert"
88,"NICE Open working environment and knowledge sharing, always too much work need to finish at the same time, need the overtime work without payment."
89,Good company to work Exciting projects to work on Organizational skills are not up to the mark
90,"Great Great projects, good place to learn new stuff Company is not well organised"
91,Good to work Good learning curve Good Projects Good Management Less Salary Less benefits No work life balance
92,"Bad company Not that I can think of, noup. Small salary, no paid overtime, and night shifts."
93,Great atmosphere Leadership always improving and considering employees. Provided support during COVID. Always conducting survey to get employees opinion. Not easy to find the right person that knows what you are trying to solve but have to do some searching.
94,"Greate working Enviroment flat & flex organization, quick response, quick action not very sure about this"
95,"Excellent Company, great people focus Quality of work, people caring, innovation Little bit work life balance"
96,Aptiv Born To Move Great place to work and learn in leading automotive technology No concerns on Aptiv Bangalore
97,Was a great team None that are worth the headache. - Had a lot of corporate bloat software that was complex and difficult to manage what was important and what wasn't
98,Great experience Very good work environment and culture Work load may vary based in project needs
99,"Good life work balance Good life work balance, nice work culture Slow in adapting to new technologies"
100,The BEST Automotive Company I've worked for many different automotive companies and Aptiv is surely the BEST. Great Pay Great Benefits Great colleagues Great management team Great Office Building Great Environment Great Technology Great Global portfolio Not Applicable. There is none.
101,A good company to work on They treat they employees very nicely and there's a very nice communication between management and employees. Sometimes workloads are impossible to handle.
102,Great culture A work environment in which you have the opportunity to learn and develop professionally. I don't any cons about.
103,"Great place to Work and learn!! If you are a fresher then APTIV is great place to start with . As the working culture here in Aptiv is very adaptive . Aptiv has a ability to build professional relationships with colleagues. As there are pros as well as cons for everything,i will not say much but as Aptiv has customers from all around the world, you may have to adjust with the working hours sometime."
104,Aptiv review Great opportunity to grow and develop skills in an international environment Very fast changing industry that requires fast adapting
105,fair empolyer flexible hours home office many possibilities the management is a bit messy especially in the advanced engineering.
106,"Good Place to Work At Good Management, great work-life balance Less flexibility in terms of working from a remote location,"
107,Feedback about Aptiv Work life balance and good platform to learn the technology CTC is not upto the mark
108,Decent place Great work culture. Understanding with time off Hard to climb up the corporate ladder
109,"Great company nice environment, inclusive, good opportunities a large company so slow to decision making"
110,Good good place to work in very big company small impact
111,"Great place to work, but long term job stability questionable High tech challenges, good benefits, great colleagues. Aptiv has a ""flexible business model"". Part of this is they will quickly shut down an operation or location to move to a more cost effective location. Aptiv is run by finance people not engineering leaders."
112,"Be here now Very good company to work in Nothing special, it’s a pleasure to work in"
113,"Be here now Very good company to work in Nothing special, it’s a pleasure to work in"
114,"Aptiv - Open and Friendly Aptiv for me means an open-minded, diverse company. Approval processes are unflexible and slow."
115,Nice place to work There is free coffe available None beside actual pandemic situation
116,"Awesome work environment Loved it, was a relaxed environment Not a whole lot of room for growth"
117,"Decent company to work for Good colleges, decent salary and can be a good fit for a lot of peop Sometimes the responsibilities are not clear"
118,"Fast phased cutting edge technology Fast phased , step learning , cutting edge technology Work life balance , Not a process driven company"
119,Good environment Very Good starting salaries and big projects No bonuses are available and the increase in salary is weak
120,Great Opportunities but can easily be pigeon-holed. Great teams to work with; some career growth and exploration if you have the right manager looking out for you. Sometimes a little too Lean in the employee workforce.
121,Great Great group of people all around Early stages of figuring it all out
122,"Well paid and interesting but you will loose your mind Good Salary and interesting technology Bad working atmosphere, tough management"
123,"lots of bureaucracy Well, there are none. Just make your money worth there are lots of bureaucracy"
124,OK ok working there nothing much to complain ok working there nothing to grow
125,"Middle of the Road Lots of growth opportunities, and some of the best coworkers I've found yet in my career. The things we've been able to accomplish across the globe with multi-national teams have been truly remarkable. The culture at APTIV is more of a shapeless forming blob. As Delphi, APTIV had a distinct culture of ""Excellence"" stemming back to the Packard days, and a proud history there as well. Companies such as Control-Tec and Unwired also had their own distinct cultures that were more like google and made your team feel more akin to family. Plenty of work got done above and beyond due to this. Now those have been stripped away into the APTIV Culture, and it is palpable in comparison to those hay-days."
126,"Great Place to Work There is flexibility, profesionalism and compromise I can't think of one, it aways depend on the business unit"
127,Work Life balance Maintaining a good focus and good management Less work life balance due to work pressure
128,Great company Lots of things to learn Lots of work to do
129,"Great Environment The environment is very nice and supportive. The people are really friendly and ready to help. The working plan is not very clear, the hierarchy is not well structured and a lot of people are taking the decision."
130,"Nice and lot of learning Quality food,free transport,satisfy salary, supportive management. Sometimes 12 hours shift and not given leave"
131,overall good experience company has interesting products and projects the work atmosphere and the workstyle is more traditional
132,Good technology and top level active safety leadership Some very good active safety leadership at the very top level Many strong engineers at the working levels Need to root out the bad leaders who compromise the organization
133,"Great company! Good pay, good bonus at the end of the year, good benefits and good management Cannot think of any cons. I learnt a lot and had a good experience overall."
134,"Pathetic place Free travel. Free food in the canteen. Pathetic place to work. Apart from traveling allowance, nothing is good about the organisation"
135,"Innovation Great Work, Innovative Team, Smart People, Collaborative Environment, Leadership Transparency Management can use more training."
136,Great people! Good colleagues and great working environment sometimes - no scope for further development and lack of opportunities
137,Very good company for beginners and professionals - new techology in automotive - None at the moment
138,"Still ok Good benefits (Medical, dental, AL) Not systemic, not everyone follow procedure"
139,stock market motivated the compensation is adequate at this company company does not value employees. burn out and terminate
140,"Good company for juniors Freedom, relatively well paid in Michigan. Management needs improvement to make employees focus on the projects."
141,"Salary for Team Lead Good pay, good infrastructure, good people Work life balance, no growth after 12 or 13 years of ecperience"
142,"Aptiv, the place where you can grow your career Open and transparent communication, great and supportive colleagues, truly international environment, plenty of career opportunities, interesting and diverse projects, many are working with top-notch technology i.e. autonomous driving, advanced driver-assistance systems, e-mobility solutions and power & signal distribution. Nothing I could mention here since topics I would have raised in the past did improve a lot within the last months. I'm really happy here and am glad that I joined Aptiv 2 years ago."
143,"Best in Automotive Work life balance, Salary, Culture,Work,Diversity Nothing all is good about being here"
144,Good to start with You get hands on. Support Good environment Work schedule depends on projects No much facilities like cafeteria
145,Nice company Company is nice to emplyee sometimes direction is not clear
146,Good benefits Good benefits and company cares about employees. Less work life balance due to overwork
147,"Aptiv is a decent employer Good management, flexible scheduling, good pay office was in basement, no workplace culture"
148,Pros and Cons Good working environment in Aptiv No personal trainings provided in Aptiv
149,"Great company Very free work environment. They really trust you, and let you take your own decisions. There is no clear hierarchy; everybody is helpful and on the same level. Administrative HR related things are a bit unstructured"
150,"OK offices, benefits, location, career, people management chain, young, possibilities, flexibility, interactions"
151,"Good pay in midwest The pay is decent in midwest area, and the work-life balance is ok. Do provide lots of vacation days compare with working in an OEM like Ford."
152,"Good company training possibilities, people, business trips, social actions for kids, etc., many internal development possibilities no money bonuses, no co-financing for meals, poor kitchen equipment"
153,"Lean champion Competitive salary with reliable, professional and hard working colleague. Bad life and work balance."
154,Don’t come here Poor management Lack of direction Lack of technical knowledge Poor administration Lack of opportunities to grow Projects on fire
155,Great opportunity Flexible work schedule. Meaningful work. High pressure environment when working with automotive OEMs as a supplier.
156,Good Great job for seeker india Not so great for non seeker
157,Executive Management Team needs insight into how the business works; need to stabilize the workforce. Good family atmosphere in plants Poor management from executive level.
158,Excellent to work everyone has good work knowledge and projects were good it is difficult to get permanenet postion
159,Experience Company has lots of good projects work life imbalance and no time for family
160,Excellent Place to Work and Learn Nice working environment Supporting Management Flexible Work Culture Opportunity to learn and grow Long Term Onsite Opportunities are minimal Need more Vehicle Testing methods
161,"""From an Intern to Full Time Employee_APTIV is a place to Learn"" 1)Safety 2)Supportive people around 3)Place to learn/explore for sure -even more trainings provided for intern and even for full time employees 4)Easily adaptable Environment 5)Good Salary Package No such cons I have noted"
162,Good place Organisation has good professional culture Competitive nature of auto market and industry
163,Good A good company to start with There are no cons for this
164,"GREAT PLACE TO WORK Great place to work, friendly environment. Better management support Very slow logistics support- like computer and office phone"
165,Good place to work Good team and good management. No parking space in the plant
166,Very good working Envi. Compensation Package Working env. Product offering There is Nothing specific to complain about
167,"Very Good company to work Strong Company, possibilities to develop and learn Sometimes, slow decisions due to sizes"
168,"The gap between employer branding and reality Colleagues, salary, flextime, proximity to the university campus, parking lot situation, interesting technological challenges. Human resources needs to cope with the projects won is usually estimated intentionally optimistically. Why do I belive its intentionally? Because it happens all the time and there is no example I am aware of where estimates reflect even close to 60% of what is actually needed. Often, good experts are promoted to engineering group managers (EGMs), although they are the wrong choice when it comes to team development and team empowerment. If a supervisor has good hard skills but still has room for improvement in terms of managing people, he or she should be encouraged to consult HR at an early stage if any conflicts in the team cannot be resolved. The inclusion of HR for problems in the team should not be interpreted as a weakness, flaw or a negative entry in a fictitious file about the team leader, but rather as a virtue and scknowledged by HR as athe right thing to do.. This is very important for a successful and large company like Aptiv, as the organizational structures change regurarly, even if this is not surprising considering the strong position in the market. In general, Aptiv is very successful and there is a lot of projects, which also has very positive side effects that the future is bright in terms of employees having lots of projects and work to be done. However, due to the high workload with hard deadlines, there is far too little time for the EGMs to manage their teams, to identify problems in the team at an early stage and to tackle those. As a result, there are often employees in the same team where some are overloaded and others are bored."
169,work life Best place to start carrier Difficult to manage time between personal and professional life due to hectic work
170,Company Great company and technology to work with Nothing much in particular I have
171,"Working For Free Outstanding Technology and product portfolio. Really ahead of competition in quality and offer to the mobility HEV market. Money at all costs. This is a company, executives and management are willing to do whatever it takes to their people to get profit. There is a Disgusting disguise of a Think like Owner to make you feel guilty for not working 20h non stop. And please feel bad for not replying that email 9pm on Saturday. They make you feel you will be fired at any moment if you don’t accept this. Half the team is on Furlough and they don’t bother in calling you and having you work. Working for free is committed for them. It is just sad such a great company treats their people like trash. And as I see the more you advance in this company the more you are treated like garbage. No value for capabilities. No space for mistakes and there is always someone to be blamed and of course fired. Hire and fire."
172,"A good first job Friendly working environment, fairly loose deadlines, good relatonship with managers, nice office location Similar projects, repetetive workload, relatively outdated computers"
173,"Fair Not bad but less vacations than a OEM. Narrow minded, lower salaries than OEMs."
174,"unclear strategy good salary, flexible home working very top down and highly centralised decision making"
175,Good place People are nice and smilong Hard to implement improvements there
176,Great place for fresher in automobile industry Flexible working hours for graduate students Get ready for a lot of presentations
177,"Excellent Experience Good people, wide product portfolio narrow focus scope. Too much reply on a few big customers."
178,Great company with bad leadership great projects and great people to work with bad leadership and lack of vision
179,"dont go there nice shiny office, that's it phew where to start? forced redundancies within a year of starting, reduced pensions, incompetent senior managers"
180,Great place to work at. 1. Aptiv is a good company to work at with good balance of work and personal life 2. I like the fact that its stress free and encourages to learn while working 3. Made some good friends over time Growth on the leadership level is slow
181,"APTIV IGS Easy hire to the company No management support at IGS`s UA. Werry bad work process organization for employers. 0 support from managment side in Projects running. 0 motivation and no salary increasing. Huge financial problems during New Projects Launching is laying on the Engineering, and after start up no any encouragement. Working more than 2 years on Dummy Company which was hired to save costs - not even APTIV. Loaded by Responcibilities like for 5 people but sallary like 0.5. during COVID-19 company forced to leave at own expense - and you must go - because afraid to lose Job during COVID-19."
182,"Old-fashioned Slaughterhouse Interesting products in the IVI, ADAS, Security area with leading edge technology (at least some) Equipment and IT support is ridiculous. No career opportunities or guide from direct manager or management side (most of them, not all)."
183,"Start you career but don't get stuck, it's not like that everywhere Currently going through Lean transformation Poor recruitment effort resulting in a unbalanced work load. Whoever has better knowledge and skills is overloaded with work. Excel driven Company trying to deal with large datasets. Unqualified management trying to control frequently using manipulation."
184,"Would Not Recommend No pros about this company Toxic work environment, silo'd, yelling and screaming at people."
185,"Just ok very innovative , interesting projects poor work / life balance"
186,Excellent Working Environment Flexible Schedule and great leadership. None at the moment that is relevant mentioning.
187,good company work with different people from all over the world the higher management is changing all the time.
188,good company promote internal evolution in the company humain relations in productions site social events
189,GOOD PLACE TO LEARN Variety of opportunities to explore and learn. Sometimes maintaining work life balance is difficult
190,GOOD PLACE TO LEARN Variety of opportunities to explore and learn. Sometimes maintaining work life balance is difficult
191,Away from this place Don't even try to think of this place Everything cons. Away from this place
192,Good learning experience Good place to learn Works on advanced technology in active safety Good benefits and pay Long hours / poor work life balance
193,"Vehicle systems engineer Good company to work and explore Next gen technology No comments, only thing is no work load balance"
