,Title,Rating,Designation,Pros,Cons,Date,Position,sentiment,all_features
13,Great,5,"Current Employee, less than 1 year","Great place to work, lots of very talented people working in a complex global environment. Lots of learning opportunities",Can be hard to get your head around the global scale and complex divisional structures.,2019," Anonymous Employee in Dublin, Dublin",1,"Great Great place to work, lots of very talented people working in a complex global environment. Lots of learning opportunities Can be hard to get your head around the global scale and complex divisional structures."
14,Terrible Culture,1,Current Employee,"Interesting technological challenges Diverse infrastructure and requirements, manufacturing, engineering","Terrible challenge Poor management NO leadership Highly political environment Company is doing terribly, many job losses",2020, Enterprise Architect ,0,"Terrible Culture Interesting technological challenges Diverse infrastructure and requirements, manufacturing, engineering Terrible challenge Poor management NO leadership Highly political environment Company is doing terribly, many job losses"
15,Employer review,2,Current Employee,Good to start with new levels,HR policies need extensive revision.,2020, Anonymous Employee ,0,Employer review Good to start with new levels HR policies need extensive revision.
16,"If Carlsberg did bad places to work, they probably wouldn't be as bad as here",1,"Current Employee, more than 1 year","Very little really, many were sold a vision that never actually had c-level commitment behind it. Then people were told that this was never what was said in the first place. There is no forward-thinking going on (at least within the Dublin office). If anyone tries to do something new massive resistance is put in their way and in some cases they are just 'removed' to stop their efforts. They got a large number of very talented people to leave good jobs based on both a large salary jump and a promise of interesting and challenging work, for many the sweet taste of the increased paycheck has well soured since very little of the work they were hired to do ever got a budget or support to proceed. So Pros: You might get a salary bump, but you'll regret it nearly instantly. The location is very good. The building is great if you want to 'look' like you work in a modern company.","Where to start. Basics: No parking, no stock for normal employees, exceptionally poor leadership, nearly everything is out-sourced. For Dublin in particular, pretending to be Corporate HQ is a joke, as a site it is so removed from the actual activities of the wider company it may as well be a call center. No culture, in fact, the employees recently got the blame for a bad culture score, the remedy? Hold an all-hands where we were told ""Go make a better culture"", this must be the only improvement program they haven't out-sourced, which goes to show how much they care about that. Relocated numerous staff members from various countries only to now make a sizable number of them redundant, very classy move. Hire numerous talented IT professionals than not support them either by connecting them with the wider company or budgeting for the work they were hired to do. Sack people who rocked the apple cart and actually started to make a difference across many functions IT, SCM and Finance.",2019," IT in Dublin, Dublin",0,"If Carlsberg did bad places to work, they probably wouldn't be as bad as here Very little really, many were sold a vision that never actually had c-level commitment behind it. Then people were told that this was never what was said in the first place. There is no forward-thinking going on (at least within the Dublin office). If anyone tries to do something new massive resistance is put in their way and in some cases they are just 'removed' to stop their efforts. They got a large number of very talented people to leave good jobs based on both a large salary jump and a promise of interesting and challenging work, for many the sweet taste of the increased paycheck has well soured since very little of the work they were hired to do ever got a budget or support to proceed. So Pros: You might get a salary bump, but you'll regret it nearly instantly. The location is very good. The building is great if you want to 'look' like you work in a modern company. Where to start. Basics: No parking, no stock for normal employees, exceptionally poor leadership, nearly everything is out-sourced. For Dublin in particular, pretending to be Corporate HQ is a joke, as a site it is so removed from the actual activities of the wider company it may as well be a call center. No culture, in fact, the employees recently got the blame for a bad culture score, the remedy? Hold an all-hands where we were told ""Go make a better culture"", this must be the only improvement program they haven't out-sourced, which goes to show how much they care about that. Relocated numerous staff members from various countries only to now make a sizable number of them redundant, very classy move. Hire numerous talented IT professionals than not support them either by connecting them with the wider company or budgeting for the work they were hired to do. Sack people who rocked the apple cart and actually started to make a difference across many functions IT, SCM and Finance."
17,Stay clear of this company,1,Former Employee,"Some good people, all struggling to survive such a toxic environment","Toxic culture primarily due to leadership team. Employees are not valued. No recognition, appreciation or support. All are disposable widgets to be used and then discarded.",2019, Anonymous Employee ,0,"Stay clear of this company Some good people, all struggling to survive such a toxic environment Toxic culture primarily due to leadership team. Employees are not valued. No recognition, appreciation or support. All are disposable widgets to be used and then discarded."
18,"Going about as well as Brexit really, isnt't it?",1,Current Employee,"shiny new office (fancy fingerprint sign-in doesnt always work) , handy to DART. that's about it really....","let's face it, it's going about as well as Brexit. Weak , inexperienced US managment on their first international assignment are out of their depth and struggling. Supply chain , finance and tax are complete losses- just stay clear of them .......",2019," Supply Chain Manager in Dublin, Dublin",0,"Going about as well as Brexit really, isnt't it? shiny new office (fancy fingerprint sign-in doesnt always work) , handy to DART. that's about it really.... let's face it, it's going about as well as Brexit. Weak , inexperienced US managment on their first international assignment are out of their depth and struggling. Supply chain , finance and tax are complete losses- just stay clear of them ......."
19,"Cutting edge on Automotive Technology, Better Than Average Benefits and Pay",4,"Current Employee, more than 1 year",The environment is changing to become more a of software development company and focus on next generation automotive solutions for the brain and nervous system of the automobile. Great people to work with.,"Very demanding management teams to get more done in an environment with constant change, turnover, and knowledge gaps.",2019," IT Business Relationship Manager in Dublin, Dublin",1,"Cutting edge on Automotive Technology, Better Than Average Benefits and Pay The environment is changing to become more a of software development company and focus on next generation automotive solutions for the brain and nervous system of the automobile. Great people to work with. Very demanding management teams to get more done in an environment with constant change, turnover, and knowledge gaps."
20,Rebranded as a tech company but really a Dinosaur. Stay away.,1,"Former Employee, less than 1 year","Good salaries, Nice office location in Grand Canal Dock","Too much red tape, Slow decision making, Very Hierarchical. Weak senior staff",2019," IT Consultant in Dublin, Dublin",0,"Rebranded as a tech company but really a Dinosaur. Stay away. Good salaries, Nice office location in Grand Canal Dock Too much red tape, Slow decision making, Very Hierarchical. Weak senior staff"
21,APTIV Ireland,5,"Current Employee, more than 1 year",Great Culture Generous Package Good Working Environment Lots of OpportunitiesAPTIV,Pace can be hectic at times Priorities can shift quickly with little warning,2019," IT Director in Dublin, Dublin",1,APTIV Ireland Great Culture Generous Package Good Working Environment Lots of OpportunitiesAPTIV Pace can be hectic at times Priorities can shift quickly with little warning
22,good so far,4,"Current Employee, more than 1 year",Interesting growing company lots of opportunities,"very complex ,jobs very specialised",2019," IT Architect in Dublin, Dublin",1,"good so far Interesting growing company lots of opportunities very complex ,jobs very specialised"
23,not for everyone,2,"Current Employee, less than 1 year","Remuneration for some levels, could get a decent manager. Interesting work and loads of responsibility.","Remuneration often not worth it, no matter how much. Finance and tax function is mad. Senior management can be counter productive and drive away people or minimises motivation. Unrealistic expectations and approach from certain leaders creates uncomfortable workplace.",2018," Anonymous Employee in Dublin, Dublin",0,"not for everyone Remuneration for some levels, could get a decent manager. Interesting work and loads of responsibility. Remuneration often not worth it, no matter how much. Finance and tax function is mad. Senior management can be counter productive and drive away people or minimises motivation. Unrealistic expectations and approach from certain leaders creates uncomfortable workplace."
24,Finance,1,"Former Employee, less than 1 year","Good Salary, Nice Offices, Work Interesting, and varied, opportunities to travel depending on area of business you are in, some of the people are inclusive","HR unsophisticated not strategic, staff are a number treated badly, staff under huge pressure to deliver to unrealistic deadlines, Dublin corp office hiring and firing within 11 month probation period pulling people out of secure jobs then dumping them callously, no management structures in place, a lot of shouting, staff distressed within months of being there, American managers think they are in US not Ireland using US practices a lawsuit waiting to happen",2018," Anonymous Employee in Dublin, Dublin",0,"Finance Good Salary, Nice Offices, Work Interesting, and varied, opportunities to travel depending on area of business you are in, some of the people are inclusive HR unsophisticated not strategic, staff are a number treated badly, staff under huge pressure to deliver to unrealistic deadlines, Dublin corp office hiring and firing within 11 month probation period pulling people out of secure jobs then dumping them callously, no management structures in place, a lot of shouting, staff distressed within months of being there, American managers think they are in US not Ireland using US practices a lawsuit waiting to happen"
25,Mistake,2,Current Employee,"Looks decent externally, pretend to be part of the future.","Not a technology company. Sterile office environment. Unreasonable expectations. Rough, micro-managing senior leadership, especially within Finance. Monolithic culture that does not seem to embrace differences. People are angry and disengaged. Lots of screamers. Work for the sake of work, which creates constant swirl.",2018," Anonymous Employee in Dublin, Dublin",0,"Mistake Looks decent externally, pretend to be part of the future. Not a technology company. Sterile office environment. Unreasonable expectations. Rough, micro-managing senior leadership, especially within Finance. Monolithic culture that does not seem to embrace differences. People are angry and disengaged. Lots of screamers. Work for the sake of work, which creates constant swirl."
26,FLDP,5,Current Employee,Great exposure to different roles in the global corporation.,Be able to move every year arround the world.,2018, Anonymous Employee ,1,FLDP Great exposure to different roles in the global corporation. Be able to move every year arround the world.
27,Stay Clear,1,"Former Employee, less than 1 year",Very little...some nice people but thats about it,No work life balance...managers rule by fear....unreasonable expectations,2019," Anonymous Employee in Dublin, Dublin",0,Stay Clear Very little...some nice people but thats about it No work life balance...managers rule by fear....unreasonable expectations
28,A rolling start.....,5,"Current Employee, less than 1 year","Exciting product offering, very direct, positive, open culture, right to CX level. Excellent support from HR and management teams. Huge potential for growth as a company and personally.","None! There are always issues with companies going through significant change, but at Aptiv, they’re very good at getting out in front of them and communicating clearly, there really are no issues that aren’t acknowledged and being addressed at pace.",2018," IT Director in Dublin, Dublin",1,"A rolling start..... Exciting product offering, very direct, positive, open culture, right to CX level. Excellent support from HR and management teams. Huge potential for growth as a company and personally. None! There are always issues with companies going through significant change, but at Aptiv, they’re very good at getting out in front of them and communicating clearly, there really are no issues that aren’t acknowledged and being addressed at pace."
29,Good Company to work for. Wonderful atmosphere and flexible work life balance. Flexible work life balance,5,"Current Employee, less than 1 year",Very good relocation package. Good Exposure . Senior Leadership is always available for any inputs/feedback. Perks Benefits Good Compensation Challenging roles but based upon individual interest Diverse Culture,No share purchase plan Dependency on suppliers,2018," Senior Manager in Dublin, Dublin",1,Good Company to work for. Wonderful atmosphere and flexible work life balance. Flexible work life balance Very good relocation package. Good Exposure . Senior Leadership is always available for any inputs/feedback. Perks Benefits Good Compensation Challenging roles but based upon individual interest Diverse Culture No share purchase plan Dependency on suppliers
30,Coolest job ever!,1,"Former Employee, more than 1 year","Cool cars when they worked. The invaluable lessons learned from the disgusting emotional games that were honestly well played. The blatant, wide spread drug use was fun! If your goal is to see the worst humans have to offer in the workplace this is the spot for you! Moving up was relatively easy for the chosen few, a bathroom bump and hump is all it took. If you did find yourself in a sticky situation that would make the company/tech look bad, no worries because they will cover it all up and still keep you working until you’re no longer needed.","Upper management, middle management, all management especially the HR department. The complete disregard for the humanity of operators. The social/political tactics used by far are some of the most vile and amazingly well executed I’m a bit jealous. They are predatory sociopaths and very adept at exploiting personal issues and working as a well oiled pack to systematically break you down so you quit or stop caring entirely so they fire you. Every day was a slow drip of your existence being squeezed out of you drop by drop, all while your tormentors smiled and said good job everyone while simultaneously picking the next groups of stragglers to make an example of. But if you were one of the actual good ones taking true pride in what you did and exceeded the standards, oh they took delight in making sure they broke you down proper and with devastating precision.",2021," Autonomous Vehicle Operator in Las Vegas, NV",0,"Coolest job ever! Cool cars when they worked. The invaluable lessons learned from the disgusting emotional games that were honestly well played. The blatant, wide spread drug use was fun! If your goal is to see the worst humans have to offer in the workplace this is the spot for you! Moving up was relatively easy for the chosen few, a bathroom bump and hump is all it took. If you did find yourself in a sticky situation that would make the company/tech look bad, no worries because they will cover it all up and still keep you working until you’re no longer needed. Upper management, middle management, all management especially the HR department. The complete disregard for the humanity of operators. The social/political tactics used by far are some of the most vile and amazingly well executed I’m a bit jealous. They are predatory sociopaths and very adept at exploiting personal issues and working as a well oiled pack to systematically break you down so you quit or stop caring entirely so they fire you. Every day was a slow drip of your existence being squeezed out of you drop by drop, all while your tormentors smiled and said good job everyone while simultaneously picking the next groups of stragglers to make an example of. But if you were one of the actual good ones taking true pride in what you did and exceeded the standards, oh they took delight in making sure they broke you down proper and with devastating precision."
31,Get it together,1,"Current Employee, more than 5 years","not many i can attest to, maybe the people ?","Everything - This place does not have an idea what Agile really means, it implements everything on a separate agenda aka there is no coordination at the TROY location let alone the global platoform which is a mess of its own. They cut way too many employees masked as covid issues. This place will work you to the bone and ask for more as you bleed out. Those that are there are stuck there due to visas which i think they did on purpose for cheaper labor as well as employee retention. I have never walked through an office where people are so sad that they are stuck with thier current situation. Upper management keeps saying they are going to make it better - and then has a re-org. within the last 3 years there have been at least 3 re-orgs. if that doesnt sell you RED FLAG i dont know what will. stay away from TROY location.",2021," Engineer in Troy, MI",0,"Get it together not many i can attest to, maybe the people ? Everything - This place does not have an idea what Agile really means, it implements everything on a separate agenda aka there is no coordination at the TROY location let alone the global platoform which is a mess of its own. They cut way too many employees masked as covid issues. This place will work you to the bone and ask for more as you bleed out. Those that are there are stuck there due to visas which i think they did on purpose for cheaper labor as well as employee retention. I have never walked through an office where people are so sad that they are stuck with thier current situation. Upper management keeps saying they are going to make it better - and then has a re-org. within the last 3 years there have been at least 3 re-orgs. if that doesnt sell you RED FLAG i dont know what will. stay away from TROY location."
32,Toxic Work Environment,1,"Former Employee, more than 3 years","The pay was great for the midwest, but that's likely the only way they can get people to join","I've never worked in a more toxic environment in my career. People are throw under the bus regularly for things that were the fault of management. Job security is abysmal - I've never seen so many people let go from an organization, and no, this was pre-Covid, so it can't be blamed on that contraction. At the same time, the amount of corporate waste and wheel spinning was mind boggling. It doesn't seem like there's a clear strategy at the top - projects are started, killed, restarted, killed again. Honestly, I don't know how this company stays in business - oh yeah, I do! If you're a Tier 1 auto supplier your OEM customers can't afford to let you go out of business. GM was right to spin out this anchor before it dragged them to the bottom with it.",2021, Anonymous Employee ,0,"Toxic Work Environment The pay was great for the midwest, but that's likely the only way they can get people to join I've never worked in a more toxic environment in my career. People are throw under the bus regularly for things that were the fault of management. Job security is abysmal - I've never seen so many people let go from an organization, and no, this was pre-Covid, so it can't be blamed on that contraction. At the same time, the amount of corporate waste and wheel spinning was mind boggling. It doesn't seem like there's a clear strategy at the top - projects are started, killed, restarted, killed again. Honestly, I don't know how this company stays in business - oh yeah, I do! If you're a Tier 1 auto supplier your OEM customers can't afford to let you go out of business. GM was right to spin out this anchor before it dragged them to the bottom with it."
33,Good Employer!,5,"Current Employee, more than 5 years",You can learn a lot! Global international project Friendly & helpful coworkers Good benefits package (even employee pension plan which is rare in the local market),Frequent overtime work Sometimes lack of understanding of local needs by global management,2021, Anonymous Employee in Kraków,1,Good Employer! You can learn a lot! Global international project Friendly & helpful coworkers Good benefits package (even employee pension plan which is rare in the local market) Frequent overtime work Sometimes lack of understanding of local needs by global management
36,Great company to work for,5,"Current Employee, more than 5 years","Culture, great people, freedom to do your own things",Need to work on review processes,2021, Anonymous Employee in Wuppertal,1,"Great company to work for Culture, great people, freedom to do your own things Need to work on review processes"
37,Great Company,4,"Current Employee, more than 1 year",Learning about the best of the technologies,Demanding employer as APTIV wants to be market leader on ADAS,2021," Ingénieur in Troy, MI",1,Great Company Learning about the best of the technologies Demanding employer as APTIV wants to be market leader on ADAS
38,great benefits,5,Current Employee,"good benefits, and pay and employment",management isnt the best if i,2021," Administration in Janesville, WI",1,"great benefits good benefits, and pay and employment management isnt the best if i"
39,very good place to learning and grow,5,Former Employee,"High empowerment, trust and exposure","complex company, from the structure perpective",2021, Financial Analyst ,1,"very good place to learning and grow High empowerment, trust and exposure complex company, from the structure perpective"
41,Excellent place to learn and contribute,5,"Current Employee, more than 1 year",Respect for ideas and opportunities to grow,Nothing is negative. You will be shifted to various platforms that might be a little stressful but an opportunity to work and grow,2021, Test and Validation Engineer in Bangalore,1,Excellent place to learn and contribute Respect for ideas and opportunities to grow Nothing is negative. You will be shifted to various platforms that might be a little stressful but an opportunity to work and grow
43,Future of Mobility,5,Current Employee,As APTIV employee You have a real chance to shape the Future of Mobility. Great place to work and learn from the other talented and experienced engineers including cooperation with top OEMs.,Sometimes need to work hard.,2021, Engineering Group Manager in Kraków,1,Future of Mobility As APTIV employee You have a real chance to shape the Future of Mobility. Great place to work and learn from the other talented and experienced engineers including cooperation with top OEMs. Sometimes need to work hard.
45,Great for work life balance,4,"Current Employee, more than 3 years",Best for work life balance,Didnot find anything till now,2021, Software Engineer in Bangalore,1,Great for work life balance Best for work life balance Didnot find anything till now
46,Be at the pulse of autonomous driving,5,"Current Employee, more than 3 years","Great colleagues, never boring, good pay,",Not for employees who don’t act as #oneTeam and have no #ownership,2021," Human Resources Manager in München, Bavaria, Bavaria",1,"Be at the pulse of autonomous driving Great colleagues, never boring, good pay, Not for employees who don’t act as #oneTeam and have no #ownership"
47,Good employer if you like American style companies,4,"Current Employee, more than 3 years",Great oportunities to grow and nice and talented colleagues to learn from. Very interesting projects.,Good decisions from top management but these do not get easily translated into engineering level. Therefore slow and cahotic execution,2021, Technical Manager ,1,Good employer if you like American style companies Great oportunities to grow and nice and talented colleagues to learn from. Very interesting projects. Good decisions from top management but these do not get easily translated into engineering level. Therefore slow and cahotic execution
49,Nice place to work,5,Current Employee,Nice place to work Fast growing,"keep changing the partner, vehicle plateform",2021, SWE ,1,"Nice place to work Nice place to work Fast growing keep changing the partner, vehicle plateform"
50,"Best place to work ,good learnings, Good projects",4,"Current Employee, more than 1 year",One learns so many different things across a different projects due to such a good learning while working environment.,"Less Pay scale, low financial growth",2021, Embedded Software Engineer in Bangalore,1,"Best place to work ,good learnings, Good projects One learns so many different things across a different projects due to such a good learning while working environment. Less Pay scale, low financial growth"
51,Good place to work,5,Current Employee,Good management and skilled team overall,Benefits could have been better,2021, Senior Software Engineer in Kraków,1,Good place to work Good management and skilled team overall Benefits could have been better
52,Excellent Work Life Balance & More Focus On People,5,"Current Employee, more than 8 years","Work Life Balance, Culture, Work, Salary/Hike & People Caring. Especially during the Covid-19 situation, Company has provided best safety measures for employees safety & Adding to this ,we got the hike back to back with no delay. No Concept of LOP for the employees during pandemic. Best company for married women employees with respect to office timings.",There are no cons with respect to work @ Aptiv. Only thing is Cafeteria need to be renewed.,2021, Advanced Software Engineer in Bangalore,1,"Excellent Work Life Balance & More Focus On People Work Life Balance, Culture, Work, Salary/Hike & People Caring. Especially during the Covid-19 situation, Company has provided best safety measures for employees safety & Adding to this ,we got the hike back to back with no delay. No Concept of LOP for the employees during pandemic. Best company for married women employees with respect to office timings. There are no cons with respect to work @ Aptiv. Only thing is Cafeteria need to be renewed."
53,Nothing,2,Current Employee,share some reasons to work,not good for BE students,2021, Anonymous Employee ,0,Nothing share some reasons to work not good for BE students
54,Overall good,4,"Former Employee, more than 5 years",Company invests in innovation and has good strategy.,Lack of change management in times of internal reorganization.,2021, Anonymous Employee ,1,Overall good Company invests in innovation and has good strategy. Lack of change management in times of internal reorganization.
55,Great Opportunity,5,"Former Employee, more than 1 year",Stable company with good benefits,not much room for growth.,2021," Systems Engineer in San Francisco, CA",1,Great Opportunity Stable company with good benefits not much room for growth.
56,Good company to start,4,Current Employee,"Aptiv offers a lot of training and professional opportunities in all areas; also, it is a company that adapts quickly to changes in the industry; well structured company","As any company in the automotive industry, it's highly dependent on the current status of the market, which influences the production;",2021," Mechanical Engineer in Porto, Oporto, Oporto",1,"Good company to start Aptiv offers a lot of training and professional opportunities in all areas; also, it is a company that adapts quickly to changes in the industry; well structured company As any company in the automotive industry, it's highly dependent on the current status of the market, which influences the production;"
57,Best place to work and learn,5,"Current Employee, more than 3 years",1. Encouragement to focus on personal goals along with org goals 2. Voice is always heard 3. Shapes you into good team player and scope for good technical interactions among senior engineers.,Mechanical and Electrical team interaction is less which makes system engineers limited to components than entire system.,2021, Senior Systems Engineer in Bangalore,1,Best place to work and learn 1. Encouragement to focus on personal goals along with org goals 2. Voice is always heard 3. Shapes you into good team player and scope for good technical interactions among senior engineers. Mechanical and Electrical team interaction is less which makes system engineers limited to components than entire system.
58,great place to work,5,"Current Employee, more than 1 year",good projects good place to learn good pay work life balance,no cons are there as per me,2021, Senior Technical Lead ,1,great place to work good projects good place to learn good pay work life balance no cons are there as per me
59,Good Place to work,4,"Current Employee, more than 3 years",Flexible work environment and values for Employee,nothing as such current assignment,2021, Senior Software Engineer in Bangalore,1,Good Place to work Flexible work environment and values for Employee nothing as such current assignment
60,Good Place to work,4,"Current Employee, more than 3 years",Flexible work environment and values for Employee,nothing as such current assignment,2021, Senior Software Engineer in Bangalore,1,Good Place to work Flexible work environment and values for Employee nothing as such current assignment
61,very good but not best,4,"Former Employee, more than 5 years",salary culture scope of worklearnings good scope,hectic work limited career growth nothing else,2021, Anonymous Employee in Bangalore,1,very good but not best salary culture scope of worklearnings good scope hectic work limited career growth nothing else
63,Great company,5,"Current Employee, less than 1 year","Great people, comfortable environment, fair wages and good benefits.","Better review processes would be beneficial. I like to know how best to improve performance, regular reviews and feedback play a big role in growth.",2021," Investor Relations in Boston, MA",1,"Great company Great people, comfortable environment, fair wages and good benefits. Better review processes would be beneficial. I like to know how best to improve performance, regular reviews and feedback play a big role in growth."
64,Good,4,"Current Employee, more than 1 year","Flexibke work time, remote work",Low sallary on part time,2021, Anonymous Employee ,1,"Good Flexibke work time, remote work Low sallary on part time"
65,Tedious work that slowly removes every single drop of enthusiasm,2,"Current Employee, more than 1 year","Good work environment (culture, work-life balance, two-way feedback taken seriously)",Poor management and frustrating tech stack. Both will slowly erode away any enthusiasm and fun you might have with the job.,2021, Anonymous Employee in Wuppertal,0,"Tedious work that slowly removes every single drop of enthusiasm Good work environment (culture, work-life balance, two-way feedback taken seriously) Poor management and frustrating tech stack. Both will slowly erode away any enthusiasm and fun you might have with the job."
